seq	time	fx	fy	fz	tx	ty	tz	
301	1580406963.222734348	27.0485	34.3863	-23.7266	3.33824	4.62368	-8.88558	
302	1580406963.230691036	27.0466	34.3896	-23.7268	3.33849	4.62381	-8.88588	
303	1580406963.238761108	27.0453	34.3895	-23.7278	3.3385	4.6235	-8.88582	
304	1580406963.246702376	-23.2762	47.8402	-9.295	3.33886	0.897201	-7.24154	
305	1580406963.254698265	-23.2763	47.84	-9.29425	3.33902	0.897148	-7.24162	
306	1580406963.262715958	-23.2776	47.8418	-9.29562	3.33918	0.896709	-7.24176	
307	1580406963.270799076	-23.2774	47.8444	-9.29641	3.3389	0.896677	-7.24198	
308	1580406963.278683468	-23.2786	47.8457	-9.29769	3.33905	0.896397	-7.24199	
309	1580406963.286774812	27.0422	34.3931	-23.7303	3.33879	4.62264	-8.88551	
310	1580406963.294737700	-0.0535183	41.6361	-15.9588	3.33879	2.61658	-8.00029	
311	1580406963.302756894	27.0404	34.3955	-23.7297	3.33843	4.62267	-8.88587	
312	1580406963.310699040	27.0382	34.3967	-23.7285	3.33829	4.62275	-8.8859	
313	1580406963.318695387	27.0394	34.3994	-23.7305	3.33773	4.62263	-8.88631	
314	1580406963.318695387	27.0747	10.0814	-9.85944	3.33717	6.00641	-6.46064	
315	1580406963.334708824	27.0404	34.4048	-23.7335	3.33711	7.18498	-4.39441	
316	1580406963.342763736	27.0724	12.8466	-11.4381	3.33677	8.31861	-2.4068	
317	1580406963.350730806	27.0444	34.4018	-23.7347	3.33655	4.62246	-8.88656	
318	1580406963.358705217	27.0986	-4.88745	-1.32375	3.33636	6.6883	-5.26416	
319	1580406963.366714390	27.098	-4.88607	-1.32203	3.33666	6.68851	-5.26435	
320	1580406963.374728024	27.0561	26.3575	-19.1439	3.33659	5.0459	-8.14536	
321	1580406963.382752734	27.0989	-4.88419	-1.32075	3.33676	9.25184	-0.772287	
322	1580406963.390730329	27.0982	-4.88454	-1.31936	3.33691	9.25174	-0.772232	
323	1580406963.398727861	27.0978	-4.88355	-1.31975	3.33736	9.25159	-0.772173	
324	1580406963.406757472	18.6424	-9.32838	-6.06373	3.33701	3.52889	2.65237	
